Date,Open,High,Low,Close,Volume,Adj Close
1991-04-08,290.001,290.001,290.001,290.001,000,33.882
1991-04-05,290.001,290.001,290.001,290.001,000,33.882
1991-04-04,284.499,284.499,284.499,284.499,000,33.239
1991-04-03,273.00,273.00,273.00,273.00,000,31.895
1991-04-02,270.00,270.00,270.00,270.00,000,31.545
1991-04-01,264.00,264.00,264.00,264.00,000,30.844
1991-03-29,264.00,264.00,264.00,264.00,000,30.844
1991-03-28,264.00,264.00,264.00,264.00,000,30.844
1991-03-27,267.00,267.00,267.00,267.00,000,31.194
1991-03-26,267.999,267.999,267.999,267.999,000,31.311
1991-03-25,266.001,266.001,266.001,266.001,000,31.078
1991-03-22,267.00,267.00,267.00,267.00,000,31.194
1991-03-21,267.999,267.999,267.999,267.999,000,31.311
1991-03-20,263.001,263.001,263.001,263.001,000,30.727
1991-03-19,263.001,263.001,263.001,263.001,000,30.727
1991-03-18,264.999,264.999,264.999,264.999,000,30.961
1991-03-15,261.999,261.999,261.999,261.999,000,30.61
1991-03-14,267.00,267.00,267.00,267.00,000,31.194
1991-03-13,264.999,264.999,264.999,264.999,000,30.961
1991-03-12,264.00,264.00,264.00,264.00,000,30.844
1991-03-11,261.999,261.999,261.999,261.999,000,30.61
1991-03-08,258.00,258.00,258.00,258.00,000,30.143
1991-03-07,252.999,252.999,252.999,252.999,000,29.559
1991-03-06,252.00,252.00,252.00,252.00,000,29.442
1991-03-05,248.001,248.001,248.001,248.001,000,28.975
1991-03-04,243.00,243.00,243.00,243.00,000,28.39
1991-03-01,245.001,245.001,245.001,245.001,000,28.624
1991-02-28,245.001,245.001,245.001,245.001,000,28.624
1991-02-27,246.00,246.00,246.00,246.00,000,28.741
1991-02-26,246.00,246.00,246.00,246.00,000,28.741
1991-02-25,248.001,248.001,248.001,248.001,000,28.975
1991-02-22,246.00,246.00,246.00,246.00,000,28.741
1991-02-21,246.00,246.00,246.00,246.00,000,28.741
1991-02-20,240.999,240.999,240.999,240.999,000,28.157
1991-02-19,240.00,240.00,240.00,240.00,000,28.04
1991-02-18,237.999,237.999,237.999,237.999,000,27.806
1991-02-15,240.999,240.999,240.999,240.999,000,28.157
1991-02-14,242.001,242.001,242.001,242.001,000,28.274
1991-02-13,240.00,240.00,240.00,240.00,000,28.04
1991-02-12,239.001,239.001,239.001,239.001,000,27.923
1991-02-11,239.001,239.001,239.001,239.001,000,27.923
1991-02-08,240.999,240.999,240.999,240.999,000,28.157
1991-02-07,240.999,240.999,240.999,240.999,000,28.157
1991-02-06,236.001,236.001,236.001,236.001,000,27.573
1991-02-05,237.999,237.999,237.999,237.999,000,27.806
1991-02-04,237.00,237.00,237.00,237.00,000,27.689
1991-02-01,243.999,243.999,243.999,243.999,000,28.507
1991-01-31,239.001,239.001,239.001,239.001,000,27.923
1991-01-30,236.001,236.001,236.001,236.001,000,27.573
1991-01-29,231.00,231.00,231.00,231.00,000,26.988
1991-01-28,246.999,246.999,246.999,246.999,000,28.858
1991-01-25,245.001,245.001,245.001,245.001,000,28.624
1991-01-24,246.00,246.00,246.00,246.00,000,28.741
1991-01-23,240.999,240.999,240.999,240.999,000,28.157
1991-01-22,239.001,239.001,239.001,239.001,000,27.923
1991-01-21,237.00,237.00,237.00,237.00,000,27.689
1991-01-18,239.001,239.001,239.001,239.001,000,27.923
1991-01-17,234.999,234.999,234.999,234.999,000,27.456
1991-01-16,228.00,228.00,228.00,228.00,000,26.638
1991-01-15,228.00,228.00,228.00,228.00,000,26.638
1991-01-14,228.00,228.00,228.00,228.00,000,26.638
1991-01-11,228.501,228.501,228.501,228.501,000,26.696
1991-01-10,224.001,224.001,224.001,224.001,000,26.171
1991-01-09,227.001,227.001,227.001,227.001,000,26.521
1991-01-08,228.999,228.999,228.999,228.999,000,26.755
1991-01-07,230.001,230.001,230.001,230.001,000,26.872
1991-01-04,231.00,231.00,231.00,231.00,000,26.988
1991-01-03,227.001,227.001,227.001,227.001,000,26.521
1991-01-02,225.00,225.00,225.00,225.00,000,26.287
1991-01-01,228.00,228.00,228.00,228.00,000,26.638
1990-12-31,228.00,228.00,228.00,228.00,000,26.638
1990-12-28,228.999,228.999,228.999,228.999,000,26.755
1990-12-27,231.00,231.00,231.00,231.00,000,26.988
1990-12-26,230.001,230.001,230.001,230.001,000,26.872
1990-12-25,230.001,230.001,230.001,230.001,000,26.872
1990-12-24,230.001,230.001,230.001,230.001,000,26.872
1990-12-21,231.999,231.999,231.999,231.999,000,27.105
1990-12-20,231.999,231.999,231.999,231.999,000,27.105
1990-12-19,236.499,236.499,236.499,236.499,000,27.631
1990-12-18,231.999,231.999,231.999,231.999,000,27.105
1990-12-17,231.00,231.00,231.00,231.00,000,26.988
1990-12-14,230.001,230.001,230.001,230.001,000,26.872
1990-12-13,227.001,227.001,227.001,227.001,000,26.521
1990-12-12,224.001,224.001,224.001,224.001,000,26.171
1990-12-11,222.999,222.999,222.999,222.999,000,26.054
1990-12-10,227.001,227.001,227.001,227.001,000,26.521
1990-12-07,231.00,231.00,231.00,231.00,000,26.988
1990-12-06,233.001,233.001,233.001,233.001,000,27.222
1990-12-05,228.00,228.00,228.00,228.00,000,26.638
1990-12-04,228.00,228.00,228.00,228.00,000,26.638
1990-12-03,227.499,227.499,227.499,227.499,000,26.579
1990-11-30,225.00,225.00,225.00,225.00,000,26.287
1990-11-29,225.999,225.999,225.999,225.999,000,26.404
1990-11-28,225.00,225.00,225.00,225.00,000,26.287
1990-11-27,227.001,227.001,227.001,227.001,000,26.521
1990-11-26,231.00,231.00,231.00,231.00,000,26.988
1990-11-23,231.00,231.00,231.00,231.00,000,26.988
1990-11-22,233.001,233.001,233.001,233.001,000,27.222
1990-11-21,233.001,233.001,233.001,233.001,000,27.222
1990-11-20,228.999,228.999,228.999,228.999,000,26.755
1990-11-19,227.001,227.001,227.001,227.001,000,26.521
1990-11-16,222.00,222.00,222.00,222.00,000,25.937
1990-11-15,221.001,221.001,221.001,221.001,000,25.82
1990-11-14,221.001,221.001,221.001,221.001,000,25.82
1990-11-13,222.00,222.00,222.00,222.00,000,25.937
1990-11-12,222.00,222.00,222.00,222.00,000,25.937
1990-11-09,218.001,218.001,218.001,218.001,000,25.47
1990-11-08,221.001,221.001,221.001,221.001,000,25.82
1990-11-07,228.999,228.999,228.999,228.999,000,26.755
1990-11-06,234.00,234.00,234.00,234.00,000,27.339
1990-11-05,231.00,231.00,231.00,231.00,000,26.988
1990-11-02,227.001,227.001,227.001,227.001,000,26.521
1990-11-01,228.999,228.999,228.999,228.999,000,26.755
1990-10-31,225.999,225.999,225.999,225.999,000,26.404
1990-10-30,225.999,225.999,225.999,225.999,000,26.404
1990-10-29,228.00,228.00,228.00,228.00,000,26.638
1990-10-26,228.999,228.999,228.999,228.999,000,26.755
1990-10-25,231.999,231.999,231.999,231.999,000,27.105
1990-10-24,233.001,233.001,233.001,233.001,000,27.222
1990-10-23,233.001,233.001,233.001,233.001,000,27.222
1990-10-22,234.00,234.00,234.00,234.00,000,27.339
1990-10-19,234.00,234.00,234.00,234.00,000,27.339
1990-10-18,231.00,231.00,231.00,231.00,000,26.988
1990-10-17,230.001,230.001,230.001,230.001,000,26.872
1990-10-16,231.00,231.00,231.00,231.00,000,26.988
1990-10-15,233.001,233.001,233.001,233.001,000,27.222
1990-10-12,233.001,233.001,233.001,233.001,000,27.222
1990-10-11,233.001,233.001,233.001,233.001,000,27.222
1990-10-10,234.999,234.999,234.999,234.999,000,27.456
1990-10-09,236.001,236.001,236.001,236.001,000,27.573
1990-10-08,240.999,240.999,240.999,240.999,000,28.157
1990-10-05,234.999,234.999,234.999,234.999,000,27.456
1990-10-04,227.001,227.001,227.001,227.001,000,26.521
1990-10-03,228.999,228.999,228.999,228.999,000,26.755
1990-10-02,225.00,225.00,225.00,225.00,000,26.287
1990-10-01,222.999,222.999,222.999,222.999,000,26.054
1990-09-28,219.00,219.00,219.00,219.00,000,25.586
1990-09-27,222.00,222.00,222.00,222.00,000,25.937
1990-09-26,221.001,221.001,221.001,221.001,000,25.82
1990-09-25,218.001,218.001,218.001,218.001,000,25.47
1990-09-24,224.001,224.001,224.001,224.001,000,26.171
1990-09-21,227.001,227.001,227.001,227.001,000,26.521
1990-09-20,224.001,224.001,224.001,224.001,000,26.171
1990-09-19,228.999,228.999,228.999,228.999,000,26.755
1990-09-18,231.00,231.00,231.00,231.00,000,26.988
1990-09-17,228.999,228.999,228.999,228.999,000,26.755
1990-09-14,225.999,225.999,225.999,225.999,000,26.404
1990-09-13,231.999,231.999,231.999,231.999,000,27.105
1990-09-12,231.999,231.999,231.999,231.999,000,27.105
1990-09-11,231.999,231.999,231.999,231.999,000,27.105
1990-09-10,231.999,231.999,231.999,231.999,000,27.105
1990-09-07,227.001,227.001,227.001,227.001,000,26.521
1990-09-06,227.001,227.001,227.001,227.001,000,26.521
1990-09-05,231.999,231.999,231.999,231.999,000,27.105
1990-09-04,233.001,233.001,233.001,233.001,000,27.222
1990-09-03,234.00,234.00,234.00,234.00,000,27.339
1990-08-31,233.001,233.001,233.001,233.001,000,27.222
1990-08-30,228.999,228.999,228.999,228.999,000,26.755
1990-08-29,227.001,227.001,227.001,227.001,000,26.521
1990-08-28,225.00,225.00,225.00,225.00,000,26.287
1990-08-27,219.999,219.999,219.999,219.999,000,25.703
1990-08-24,219.999,219.999,219.999,219.999,000,25.703
1990-08-23,216.00,216.00,216.00,216.00,000,25.236
1990-08-22,215.001,215.001,215.001,215.001,000,25.119
1990-08-21,215.001,215.001,215.001,215.001,000,25.119
1990-08-20,220.50,220.50,220.50,220.50,000,25.762
1990-08-17,224.001,224.001,224.001,224.001,000,26.171
1990-08-16,225.501,225.501,225.501,225.501,000,26.346
1990-08-15,222.00,222.00,222.00,222.00,000,25.937
1990-08-14,221.001,221.001,221.001,221.001,000,25.82
1990-08-13,221.001,221.001,221.001,221.001,000,25.82
1990-08-10,222.999,222.999,222.999,222.999,000,26.054
1990-08-09,221.001,221.001,221.001,221.001,000,25.82
1990-08-08,221.001,221.001,221.001,221.001,000,25.82
1990-08-07,225.999,225.999,225.999,225.999,000,26.404
1990-08-06,221.001,221.001,221.001,221.001,000,25.82
1990-08-03,225.00,225.00,225.00,225.00,000,26.287
1990-08-02,228.501,228.501,228.501,228.501,000,26.696
1990-08-01,234.999,234.999,234.999,234.999,000,27.456
1990-07-31,237.00,237.00,237.00,237.00,000,27.689
1990-07-30,234.999,234.999,234.999,234.999,000,27.456
1990-07-27,236.001,236.001,236.001,236.001,000,27.573
1990-07-26,236.001,236.001,236.001,236.001,000,27.573
1990-07-25,237.00,237.00,237.00,237.00,000,27.689
1990-07-24,236.001,236.001,236.001,236.001,000,27.573
1990-07-23,236.001,236.001,236.001,236.001,000,27.573
